# x_deg, y_deg, z_deg
-145.229356 -36.507416 -162.613721
-137.206769 70.669483 -80.320200
20.700110 3.261399 0.331605
88.392705 -6.979603 -34.947510
39.492240 17.264627 -102.427460
30.102915 -59.798259 -84.912491
145.642510 25.537068 11.238802
-36.212683 -42.616694 -170.579857
2.574763 -87.336194 19.203557
-139.501472 17.844919 153.865886
-155.241909 -15.884807 102.421970
9.393372 -16.054772 -12.430263
-23.910553 16.811163 -58.612872
-159.262312 -41.967789 -21.344353
-77.006893 54.411532 173.199744
-131.832606 -26.628940 -66.123158
-28.676108 0.411678 6.049632
-10.708675 72.421977 -129.980927
30.680518 -17.092027 -126.627464
-96.466839 -7.144126 -115.248325
168.609990 -58.456960 -68.510856
-113.949256 -15.879379 75.519205
19.036754 31.596046 21.863207
-125.892851 66.319522 -116.057826
